  PERMNO        date            mcd        vwretd        ewretd        sprtrn
   43449    20020531       0.054225     -0.010523     -0.015518     -0.009081
   43449    20020628      -0.049766     -0.070249     -0.067318     -0.072465
   43449    20020731      -0.130053     -0.081152     -0.107499     -0.078995
   43449    20020830      -0.040000      0.007979      0.006337      0.004881
   43449    20020930      -0.256734     -0.099965     -0.084490     -0.110013
   43449    20021031       0.025481      0.074923      0.042773      0.086436
   43449    20021129       0.034511      0.061271      0.117775      0.057070
   43449    20021231      -0.130811     -0.053313     -0.040159     -0.060333
   43449    20030131      -0.114428     -0.023392      0.006068     -0.027415
   43449    20030228      -0.044242     -0.015390     -0.021448     -0.017004
   43449    20030331       0.062454      0.010325      0.009434      0.008358
   43449    20030430       0.182573      0.082762      0.098222      0.081044
   43449    20030530       0.095322      0.063471      0.133177      0.050899
   43449    20030630       0.177790      0.016336      0.049741      0.011322
   43449    20030731       0.043064      0.023112      0.061927      0.016224
   43449    20030829      -0.025641      0.024966      0.047429      0.017873
   43449    20030930       0.049955     -0.009112      0.025239     -0.011944
   43449    20031031       0.062022      0.060319      0.080930      0.054962
   43449    20031128       0.041200      0.016593      0.038147      0.007129
   43449    20031231      -0.031213      0.045489      0.038908      0.050765
   43449    20040130       0.036649      0.023049      0.065763      0.017276
   43449    20040227       0.099456      0.015458      0.013720      0.012209
   43449    20040331       0.009541     -0.010674      0.006293     -0.016359
   43449    20040430      -0.046902     -0.024232     -0.043590     -0.016791
   43449    20040528      -0.030481      0.014068      0.002592      0.012083
   43449    20040630      -0.015152      0.021578      0.022729      0.017989
   43449    20040730       0.057692     -0.037666     -0.051082     -0.034291
   43449    20040831      -0.017455      0.002714     -0.004725      0.002287
   43449    20040930       0.037380      0.020547      0.041594      0.009364
   43449    20041029       0.039957      0.017805      0.020837      0.014014
   43449    20041130       0.073413      0.048207      0.079929      0.038595
   43449    20041231       0.042941      0.035177      0.052920      0.032458
   43449    20050131       0.010293     -0.026552     -0.029278     -0.025290
   43449    20050228       0.021303      0.022681      0.016636      0.018903
   43449    20050331      -0.058646     -0.016948     -0.031835     -0.019118
   43449    20050429      -0.058767     -0.025185     -0.046509     -0.020109
   43449    20050531       0.055612      0.037954      0.043808      0.029952
